City,Cloudiness,Country Code,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Ponta do Sol,20.0,PT,1607904396.0,82.0,32.67,-17.1,62.6,4.7
Bathsheba,20.0,BB,1607904396.0,83.0,13.22,-59.52,78.8,6.93
Dikson,100.0,RU,1607904396.0,92.0,73.51,80.55,-2.51,14.23
Penzance,83.0,GB,1607904396.0,87.0,50.12,-5.54,51.8,26.4
Adrar,90.0,MR,1607904396.0,27.0,20.5,-10.07,64.13,7.11
Sitka,75.0,US,1607904242.0,48.0,57.05,-135.33,44.6,17.22
Bluff,98.0,NZ,1607904396.0,71.0,-46.6,168.33,57.99,11.99
Ushuaia,40.0,AR,1607904396.0,75.0,-54.8,-68.3,48.2,20.8
Chicama,93.0,PE,1607904396.0,88.0,-7.84,-79.15,66.2,9.17
Cherskiy,100.0,RU,1607904396.0,88.0,68.75,161.3,-17.46,5.01
Saldanha,59.0,ZA,1607904396.0,76.0,-33.01,17.94,55.4,2.24
Eilat,0.0,IL,1607904397.0,68.0,29.56,34.95,66.2,4.7
Mount Isa,100.0,AU,1607904397.0,48.0,-20.73,139.5,87.8,13.87
Albany,97.0,US,1607904364.0,69.0,42.6,-73.97,39.99,8.7
Gōtsuchō,75.0,JP,1607904397.0,86.0,35.0,132.22,39.2,24.16
Paraná,33.0,AR,1607904397.0,71.0,-31.73,-60.52,66.99,3.0
Swellendam,52.0,ZA,1607904397.0,82.0,-34.02,20.44,59.0,3.36
Ubari,0.0,LY,1607904397.0,48.0,26.59,12.78,49.78,6.62
Puerto Ayora,99.0,EC,1607904397.0,91.0,-0.74,-90.35,73.0,8.99
Castro,32.0,BR,1607904295.0,95.0,-24.79,-50.01,66.18,5.99
Saint Paul Harbor,90.0,US,1607904398.0,93.0,57.79,-152.41,42.8,20.8
Lata,100.0,PT,1607904398.0,91.0,40.16,-8.33,59.0,1.01
Upernavik,100.0,GL,1607904398.0,98.0,72.79,-56.15,24.15,1.88
Mataura,91.0,NZ,1607904398.0,71.0,-46.19,168.86,57.99,11.99
Thompson,5.0,CA,1607904398.0,75.0,55.74,-97.86,-16.6,5.82
Lixouri,100.0,GR,1607904398.0,72.0,38.2,20.43,59.65,20.96
Talgar,90.0,KZ,1607904398.0,92.0,43.3,77.24,15.8,4.47
Cape Town,0.0,ZA,1607904247.0,82.0,-33.93,18.42,61.0,1.12
Busselton,23.0,AU,1607904398.0,78.0,-33.65,115.33,61.0,9.51
Port Macquarie,100.0,AU,1607904398.0,99.0,-31.43,152.92,70.0,1.01
Hithadhoo,34.0,MV,1607904398.0,76.0,-0.6,73.08,82.45,17.0
Mezen',100.0,RU,1607904399.0,98.0,65.85,44.24,26.74,8.21
Yellowknife,20.0,CA,1607904399.0,67.0,62.46,-114.35,-25.01,3.36
Maragogi,75.0,BR,1607904099.0,76.0,-9.01,-35.22,78.67,10.25
Wadi Maliz,40.0,TN,1607904399.0,87.0,36.47,8.55,48.2,2.24
Araguaína,10.0,BR,1607904399.0,65.0,-7.19,-48.21,79.29,2.35
Henties Bay,44.0,NA,1607904399.0,91.0,-22.12,14.28,62.01,3.15
Kahului,40.0,US,1607904399.0,54.0,20.89,-156.47,84.2,9.17
Souillac,75.0,MU,1607904399.0,94.0,-20.52,57.52,75.2,13.87
Port Alfred,15.0,ZA,1607904399.0,96.0,-33.59,26.89,64.99,3.0
